Date,Sport,Event,Time,Additional details,Location,Closest Metro,LEFT,Start time,RIGHT,End time
August 6,Wrestling,"M Greco-Roman 77kg, M Greco-Roman 97kg, W freestyle 50kg semis, M Greco-Roman 60kg, M Greco-Roman 130kg, W freestyle 68kg medal finals",1815-2145,,Two locations – check official documentation,,1815,18:15,2145,21:45
August 6,Hockey,Semifinals - men's,1400-1600,,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1400,14:00,1600,16:00
August 6,Hockey,Semifinals - men's,1900-2100,,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1900,19:00,2100,21:00
August 6,Handball,Quarters (2 matches) - women's,0930-1130,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),0930,09:30,1130,11:30
August 6,Handball,Quarters (2 matches) - women's,1330-1530,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1330,13:30,1530,15:30
August 6,Handball,Quarters (2 matches) - women's,1730-1930,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1730,17:30,1930,19:30
August 6,Handball,Quarters (2 matches) - women's,2130-2330,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),2130,21:30,2330,23:30
August 6,Athletics,1500m round 1 - women's,1005,,Stade de France,Stade de France - Saint-Denis (RER D),1005,10:05,1005,10:05
August 6,Athletics,Javelin throw qualification A - men's,1020,,Stade de France,Stade de France - Saint-Denis (RER D),1020,10:20,1020,10:20
August 6,Athletics,110m hurdles repechage - men's,1050,,Stade de France,Stade de France - Saint-Denis (RER D),1050,10:50,1050,10:50
August 6,Athletics,Long jump qualification - women's,1115,,Stade de France,Stade de France - Saint-Denis (RER D),1115,11:15,1115,11:15
August 6,Athletics,400m repechage - women's,1120,,Stade de France,Stade de France - Saint-Denis (RER D),1120,11:20,1120,11:20
August 6,Athletics,Javelin throw qualification B - men's,1150,,Stade de France,Stade de France - Saint-Denis (RER D),1150,11:50,1150,11:50
August 6,Athletics,M 400m hurdles repechage,1200,,Stade de France,Stade de France - Saint-Denis (RER D),1200,12:00,1200,12:00
August 6,Athletics,200m repechage - men's,1230,,Stade de France,Stade de France - Saint-Denis (RER D),1230,12:30,1230,12:30
August 6,Athletics,400m semifinals - men's,1935,,Stade de France,Stade de France - Saint-Denis (RER D),1935,19:35,1935,19:35
